lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.532,59.85525233,-176.7474146,4.425792087,173.5528398,0.30297753,0.001286612,-0.00159162,-0.002673842,-0.000898454,0.038185567,-0.004319842,0.002558232,0.003123143,0.003522893,-0.021110018,0.016245117,0.003791244,0.008660235,-0.004676962,-0.013252705
0.532,54.92618411,-174.521759,37.45261905,-67.49266152,0.316144957,0.004962414,0.021658941,0.002550623,0.019554819,0.025249757,0.030206523,0.001542277,-0.021510597,-0.004412959,-0.042024183,0.025011618,0.003352569,0.027204352,0.005162772,0.008977199
0.532,43.5922941,-22.66127457,24.87135651,146.7996314,0.328100898,0.002792971,0.008255398,-0.007454842,-0.002504543,0.028178003,0.004241954,0.020775381,-0.028123593,-0.014499584,-0.040716881,0.009075234,0.00584895,0.021099373,-0.023015724,0.005420368
0.532,26.05663147,-168.9566343,62.55649644,118.9010678,0.294552253,-0.015401281,0.004875802,-0.012652921,-0.009174856,0.019467291,-0.039637862,-0.002048697,-0.008713274,-0.023374805,0.007551133,0.008358608,-0.003419102,0.011019361,0.018383442,0.004649491
0.532,40.74181869,-74.13355264,52.57840329,-56.30790424,0.295992413,-0.021937986,0.005586642,-0.008292026,0.008898325,0.047288972,-0.006965711,0.009407357,0.002032779,-0.00333531,-0.062613961,-0.016619181,0.004873663,-0.006956307,8.80E-05,-0.028593761
0.532,21.65233697,82.53752179,35.13430993,144.4901933,0.319322333,-0.014127886,0.002985474,7.22E-05,-0.006125048,0.019778666,-0.011651672,-0.001549453,0.009696338,-0.012112771,-0.015052746,-0.007114498,-0.002507539,-0.001122221,0.010197406,0.001196068
0.532,36.40287449,-101.4063107,17.60534989,-20.01493259,0.318846951,0.020663014,-0.002995419,0.002063177,0.004030014,0.03414065,-0.008946741,-0.007798045,0.005060163,-0.00304764,-0.040169043,0.007999083,-0.009842188,-0.021147277,-0.015643264,-0.007856791
0.532,45.58079615,70.90497205,11.49140098,-151.2056015,0.319614754,-0.008393284,0.003149746,0.007227378,-0.001263124,0.026839159,-0.006070993,-0.006264639,-0.005218778,-0.009490805,-0.008189851,0.010344173,-0.008048308,-0.007899431,0.000167628,0.002976681
0.532,41.71083642,-125.7840409,28.55876911,143.615899,0.316141953,-0.010217021,0.006139162,-0.000806215,-0.021135547,0.029183885,-0.008927284,0.015451156,0.004796248,-0.011540882,-0.020761878,-0.011610865,0.005203303,-0.013668364,0.008035612,0.0092916
0.532,25.74328518,-11.42821917,53.72306842,136.4963638,0.31724824,-0.001499548,0.054118817,0.005814934,-0.002464179,0.012654203,0.020367706,0.040457254,0.014958515,-0.013593256,-0.029258007,0.007455424,-0.017788193,0.002528652,-0.026975675,0.014301168
0.532,61.25698167,-29.48816268,32.15894941,13.26009737,0.294110102,0.005275799,-0.006055942,0.005110768,0.000856201,0.043121831,0.010985947,0.010227765,-0.017631766,0.020802192,-0.02853462,-0.001912546,0.002060998,0.007562872,0.005274163,-0.00089483
0.532,56.88324311,126.239423,54.87285906,145.7873425,0.293921183,0.00565009,-0.024200506,0.000491407,0.001159647,0.042195296,0.018398819,-0.001894804,0.006995646,0.025750579,-0.060888438,0.00697953,0.009567195,0.003355861,-0.015944881,-0.006010887
0.532,44.03594671,-20.01966383,44.73301653,-2.217139377,0.302866021,-0.003354343,-0.00263409,0.002218214,-0.011513874,0.056074496,0.004903244,0.00797935,0.002009477,-0.005199745,-0.06655144,0.016586654,-0.001993154,0.012355641,-0.001461589,-0.031900111
0.532,26.76799359,-28.41190344,44.42134589,79.78236121,0.316606426,-0.030124515,0.017496926,-0.005939997,0.006685286,0.03403814,-0.003767617,0.003594887,-0.001123779,0.014092205,-0.007824737,-0.023936246,-0.007471106,-0.007504984,0.024897575,0.015287238
0.532,52.97632054,-31.45034719,44.79757828,-17.09427707,0.295371471,-0.010922962,-0.011630874,-0.003244765,-0.006062566,0.061319178,-0.003328006,0.010197899,-0.002570139,0.005293886,-0.058533757,-0.010320024,-0.011418461,0.00566526,0.000276004,-0.024316027
0.532,30.05640469,-36.57625483,22.09697526,39.96224782,0.323095137,-0.021055313,0.003918899,0.011563947,-0.005809523,0.051680256,0.00466745,-0.009406155,0.001679207,0.013416524,-0.044256541,-0.016330083,-0.007640051,0.001169169,0.01435952,-0.017530044
0.532,33.17054833,-72.20606391,33.73277772,-33.73051067,0.3178868,0.008752741,-0.001239783,0.00101292,-0.001083051,0.036549444,0.014972512,0.001892369,-0.000339466,0.000918558,-0.040621172,0.023069541,0.005247234,0.010131464,0.000334736,-0.013631796
0.532,59.74456095,54.17224081,63.50737774,-173.2512231,0.329805532,0.037329902,-0.002597255,-0.002095675,-0.017983948,-0.035671897,-0.083236366,-0.033209384,0.036259952,0.110935823,-0.038418088,0.00804954,0.004196622,-0.01197931,-0.016684137,0.058487923
0.532,59.22284283,-130.4778283,12.99840048,98.13731744,0.309110743,-0.000929549,-0.014421026,0.001930061,0.002735792,0.017705889,0.013596903,-0.010728784,0.025025713,-0.014297324,-0.040175548,-0.005088413,-0.008607767,-0.020795391,0.009451338,0.007612038
0.532,41.15452109,87.76475689,39.87245277,54.14099489,0.306153871,-0.010979145,-0.001408718,-0.007693346,-0.003677043,0.034307624,-0.017558727,-0.006878124,-0.019102493,-0.023397771,-0.029178562,0.007164521,0.021238649,-0.003659922,-0.002437142,-0.026616791
0.532,51.36957067,173.0048042,35.20468717,160.6424602,0.306612628,-0.01202544,0.008806016,-0.0102529,-0.006411564,0.048942344,-0.008963389,-0.015877066,0.00577736,-0.005400113,-0.038799545,-0.015701123,-0.010346834,-0.00015112,-0.000716698,-0.020781394
0.532,26.44686046,127.6479535,33.24131984,122.4090874,0.322450531,-0.004543787,-0.014028727,0.007072568,-0.020831762,0.050175523,0.001649991,-0.000253763,0.010543674,-0.016221856,-0.031212405,0.003016926,-0.000799485,-0.004367844,0.009739254,-0.001683889
0.532,43.93797055,-121.7437564,50.77303977,-82.66684243,0.3021861,-0.007270294,0.020624277,0.010764662,-0.002976386,0.044526616,0.022563594,-0.014036317,0.0054629,0.00370064,-0.035719111,-0.000593942,-0.01119767,0.00122278,-0.007017173,-0.024529327
0.532,39.09199479,-72.05683262,58.47274366,-60.54936512,0.288948635,0.003192061,0.006258143,-0.006333508,-0.001480091,0.061101935,0.020952902,0.007516033,0.024013819,0.003556012,-0.051656797,0.001992001,-0.017193929,-0.004177303,-0.016567729,-0.027638444
