lambda,thetai,phi,thetar,phir,f_r11,f_r12/f_r11,f_r13/f_r11,f_r14/f_r11,f_r21/f_r11,f_r22/f_r11,f_r23/f_r11,f_r24/f_r11,f_r31/f_r11,f_r32/f_r11,f_r33/f_r11,f_r34/f_r11,f_r41/f_r11,f_r42/f_r11,f_r43/f_r11,f_r44/f_r11
0.351,-0.001,0,18.4349,161.565,3.26E-01,0.00550878,-0.00411233,-0.00489449,0.00242844,0.011428,0.00744068,0.00352777,-0.00137502,-0.00288684,-0.0218628,0.000217259,-0.00205171,-0.00853714,-0.00474343,-0.0117667
0.351,-0.001,0,21.1343,146.31,3.27E-01,0.00140577,0.000992802,0.0016537,0.00626158,0.0321286,-0.00231542,-0.00501142,-0.00811522,0.0185628,-0.0238152,0.00310497,0.00138633,-0.0140943,0.00147516,-0.00584203
0.351,-0.001,0,25.1041,135,3.24E-01,0.00041462,-0.000753505,-0.00219681,0.0119234,0.0459,0.00881049,-0.0145385,-0.00610364,0.000586661,-0.0162248,-0.000125404,-0.00179885,-0.00850542,-0.00117459,-0.0099458
0.351,-0.001,0,30,126.87,3.24E-01,-0.00360483,0.00893967,-0.00268102,0.0120972,0.00621873,0.00110127,-0.00407684,-0.00415802,0.0124011,-0.0262294,-0.00357106,-0.00694115,0.0141763,0.0061553,-0.00685685
0.351,-0.001,0,35.6685,120.964,3.19E-01,-0.00265886,0.00630687,0.000985153,-0.00491389,0.0354462,0.00387439,0.00120181,-0.000860701,-0.00271941,-0.0233625,0.00277115,0.00128235,0.00588878,0.00636883,-0.0153105
0.351,-0.001,0,42.1304,116.565,3.13E-01,-0.00319632,-0.00436653,0.00392296,-0.00295063,0.0348529,0.0175814,-0.00217159,-0.00730948,-0.0146292,-0.0327055,0.00442216,-0.00363018,0.00797893,0.0085558,-0.00493062
0.351,-0.001,0,49.6034,113.199,3.10E-01,-0.00946905,-0.00826791,-0.00189667,-0.0134428,0.0332909,-0.0118154,0.02169,0.00992045,0.0105866,-0.00225655,-0.0168228,0.00867963,0.00110359,0.00227287,-0.0276978
0.351,-0.001,0,58.6936,110.556,3.02E-01,-0.0104946,-0.00354877,0.00621637,-0.00150875,0.0265118,-0.0299355,0.0142605,-0.00453771,0.00220338,-0.019706,-0.00404746,0.00573652,0.00164451,0.023564,-0.023553
0.351,-0.001,0,71.5651,108.435,2.81E-01,-0.0225357,0.0192749,0.00283829,-0.0382842,0.0282132,0.00923938,0.0212762,-0.00705195,-0.000369825,-0.035106,0.00224736,0.00722857,0.00226847,0.0209729,-0.0350106
0.351,-0.001,0,67.2135,-102.529,2.91E-01,0.0128233,-0.0274599,0.0119385,-0.00121272,0.0191209,-0.0039461,-0.0120656,0.00854669,-0.044965,-0.0137604,-0.0358374,0.0080443,-0.0245537,0.0126492,-0.00699352
