lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
730,0.37828,0.84669,0.8345,0.93868,0.97495,1.12337,0.97107,0.8231,0.45995,0.56605
731,0.38797,0.86119,0.84849,0.95039,0.98601,1.13884,0.98481,0.83673,0.46953,0.57756
732,0.39769,0.8755,0.86226,0.96177,0.99673,1.15394,0.99825,0.85017,0.47907,0.58902
733,0.40782,0.89023,0.87639,0.97338,1.00768,1.16939,1.01202,0.86398,0.48896,0.60088
734,0.41818,0.90486,0.89037,0.98463,1.01822,1.18447,1.02553,0.87774,0.49898,0.61286
735,0.42869,0.91915,0.90396,0.9952,1.02803,1.19886,1.03847,0.89121,0.50901,0.62482
736,0.43851,0.93187,0.91596,1.00416,1.03624,1.21129,1.04973,0.90325,0.51823,0.63578
737,0.44651,0.94161,0.92505,1.01063,1.04206,1.22048,1.05812,0.91253,0.52561,0.64451
738,0.45246,0.94816,0.93107,1.0146,1.04554,1.22638,1.06356,0.91884,0.53093,0.6508
739,0.45714,0.95271,0.93514,1.01698,1.04753,1.2302,1.06713,0.9233,0.53496,0.65559
740,0.46168,0.95695,0.93893,1.01917,1.04934,1.23376,1.07044,0.92754,0.53883,0.66019
741,0.46646,0.96162,0.94309,1.02176,1.05158,1.23783,1.07421,0.93217,0.54297,0.66509
742,0.47096,0.96601,0.94702,1.02428,1.05378,1.24177,1.07783,0.93655,0.54687,0.66972
743,0.4748,0.96962,0.95027,1.02637,1.05558,1.24506,1.08086,0.94022,0.55019,0.67367
744,0.47797,0.9725,0.95285,1.02806,1.05703,1.24771,1.08329,0.9432,0.5529,0.67693
745,0.48031,0.97434,0.95443,1.02899,1.05776,1.24932,1.08479,0.94516,0.55483,0.67926
746,0.48198,0.9754,0.95532,1.0294,1.05802,1.2502,1.08565,0.94638,0.55615,0.68087
