lambda,Sta_01,Sta_02,Sta_03,Sta_04,Sta_05,Sta_06,Sta_07,Sta_08,Sta_09,Sta_10
722,NA,NA,NA,NA,NA,NA,NA,0.99707,NA,NA
723,NA,NA,NA,NA,NA,NA,NA,0.994,NA,NA
724,NA,NA,NA,NA,NA,NA,NA,0.99437,NA,NA
725,NA,NA,NA,NA,NA,NA,NA,0.99612,NA,NA
726,NA,NA,NA,NA,NA,NA,NA,0.99876,NA,NA
727,NA,NA,NA,NA,NA,NA,NA,1.00266,NA,NA
728,NA,NA,NA,NA,NA,NA,NA,1.01227,NA,NA
729,NA,NA,NA,NA,NA,NA,NA,1.02546,NA,NA
730,NA,NA,NA,NA,NA,NA,NA,1.0391,NA,NA
731,NA,NA,NA,NA,NA,NA,NA,1.05469,NA,NA
732,NA,NA,NA,NA,NA,NA,NA,1.07209,NA,NA
733,NA,NA,NA,NA,NA,NA,NA,1.08875,NA,NA
734,NA,NA,NA,NA,NA,NA,NA,1.10388,NA,NA
735,NA,NA,NA,NA,NA,NA,NA,1.11864,NA,NA
736,NA,NA,NA,NA,NA,NA,NA,1.13166,NA,NA
737,NA,NA,NA,NA,NA,NA,NA,1.14211,NA,NA
738,NA,NA,NA,NA,NA,NA,NA,1.15111,NA,NA
739,NA,NA,NA,NA,NA,NA,NA,1.15903,NA,NA
740,NA,NA,NA,NA,NA,NA,NA,1.16612,NA,NA
741,NA,NA,NA,NA,NA,NA,NA,1.17333,NA,NA
742,NA,NA,NA,NA,NA,NA,NA,1.17983,NA,NA
743,NA,NA,NA,NA,NA,NA,NA,1.18439,NA,NA
744,NA,NA,NA,NA,NA,NA,NA,1.18729,NA,NA
745,NA,NA,NA,NA,NA,NA,NA,1.1896,NA,NA
746,NA,NA,NA,NA,NA,NA,NA,1.19085,NA,NA
747,NA,NA,NA,NA,NA,NA,NA,1.19067,NA,NA
748,NA,NA,NA,NA,NA,NA,NA,1.1897,NA,NA
749,NA,NA,NA,NA,NA,NA,NA,1.18803,NA,NA
750,NA,NA,NA,NA,NA,NA,NA,1.18528,NA,NA
751,NA,NA,NA,NA,NA,NA,NA,1.17672,NA,NA
