wl [nm]	refractive_index 	+/- error 
at T=15.0 degC, S=34.0 PSU, depol.ratio=0.039, Theta=90.0 deg
1652.0	   1.3251791447	   0.0005000000
1654.0	   1.3251461447	   0.0005000000
1656.0	   1.3251151447	   0.0005000000
1658.0	   1.3250861447	   0.0005000000
1660.0	   1.3250561447	   0.0005000000
1662.0	   1.3250231447	   0.0005000000
1664.0	   1.3249911447	   0.0005000000
1666.0	   1.3249651447	   0.0005000000
1668.0	   1.3249211447	   0.0005000000
1670.0	   1.3248781447	   0.0005000000
1672.0	   1.3248351447	   0.0005000000
1674.0	   1.3247911447	   0.0005000000
1676.0	   1.3247471447	   0.0005000000
1678.0	   1.3247031447	   0.0005000000
1680.0	   1.3246591447	   0.0005000000
1682.0	   1.3246141447	   0.0005000000
